dose,inc,soil,treat,name,id,source,perC,perN,C2N,perLig,Lig2N,perSol,Cret_tot,meanCresp,init_C_mg
S,1,P,P2A,CS_P,CS1,CS1,43.53,0.49,89,17.96846644,36.67033967,0,0.69798943,348.8106537,1154.961742
S,1,P,P2B,CS_P,CS1,CS1,43.53,0.49,89,17.96846644,36.67033967,0,0.723892313,314.3671942,1138.567339
S,1,P,P2C,CS_P,CS1,CS1,43.53,0.49,89,17.96846644,36.67033967,0,0.720981879,317.7126241,1138.68097
S,1,P,P2D,CS_P,CS1,CS1,43.53,0.49,89,17.96846644,36.67033967,0,0.733781375,306.2623053,1150.416523
S,1,P,P3A,AD_P,AD1,CS1,35.7158444,1.62844327,22,39.51597763,24.26610639,,0.905424369,99.46838301,1051.733745
S,1,P,P3B,AD_P,AD1,CS1,35.7158444,1.62844327,22,39.51597763,24.26610639,,0.907433892,99.77433627,1077.871141
S,1,P,P3C,AD_P,AD1,CS1,35.7158444,1.62844327,22,39.51597763,24.26610639,,0.904502866,100.1228681,1048.438461
S,1,P,P5A,DASE_P,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.909415806,106.7248196,1178.183682
S,1,P,P5B,DASE_P,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.910287746,106.8155058,1190.645656
S,1,P,P5C,DASE_P,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.91184224,105.8339714,1200.506589
S,1,P,P5D,DASE_P,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.909947828,106.5471156,1183.170964
S,2,P,1A,DASE_C,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.877692431,146.909581,1201.148727
S,2,P,1B,DASE_C,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.875398849,149.303024,1198.247547
S,2,P,1C,DASE_C,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.878757301,145.280046,1198.258101
S,2,P,2A,DASE_O,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.878588455,145.328226,1196.988524
S,2,P,2B,DASE_O,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.883016307,140.549216,1201.442799
S,2,P,2C,DASE_O,HLFB1,CS1,44.1912924,2.98975931,15,55.74856006,18.64650438,0.74,0.88315949,140.037089,1198.531989
S,2,P,3A,AD_S,AD2,CS2,44.42899344,3.373443844,13.17021877,32,9.6,0.65,0.842190201,189.816568,1202.818641
S,2,P,3B,AD_S,AD2,CS2,44.42899344,3.373443844,13.17021877,32,9.6,0.65,0.834100791,199.563987,1202.923081
S,2,P,3C,AD_S,AD2,CS2,44.42899344,3.373443844,13.17021877,32,9.6,0.65,0.836330642,196.882889,1202.930665
S,2,P,4A,POET_S,HLFB3,CS3,44.9,2.0,22.0,45,22,0.52,0.923519066,92.4226901,1208.440922
S,2,P,4B,POET_S,HLFB3,CS3,44.9,2.0,22.0,45,22,0.52,0.921680531,94.5952735,1207.813016
S,2,P,4C,POET_S,HLFB3,CS3,44.9,2.0,22.0,45,22,0.52,0.922162545,94.1875775,1210.054695
S,2,P,5A,NREL_S,HLFB2,CS2,49.62855619,1.276328906,38.88382997,56,43,0.84,0.836395559,209.618341,1281.250926
S,2,P,5B,NREL_S,HLFB2,CS2,49.62855619,1.276328906,38.88382997,56,43,0.84,0.837558389,207.884522,1279.749203
S,2,P,5C,NREL_S,HLFB2,CS2,49.62855619,1.276328906,38.88382997,56,43,0.84,0.836937637,208.716856,1279.981797
N,2,P,9A,CS_O,CS2,CS2,46.0,0.8,59.7,16,21,0,0.770609535,201.899555,880.156703
N,2,P,9B,CS_O,CS2,CS2,46.0,0.8,59.7,16,21,0,0.781546795,192.418463,880.8223389
N,2,P,9C,CS_O,CS2,CS2,46.0,0.8,59.7,16,21,0,0.762779646,209.137988,881.61907
N,2,P,6A,AD_N,AD2,CS2,44.42899344,3.373443844,13.17021877,32,9.6,0.65,0.861651009,120.192045,868.7598207
N,2,P,6B,AD_N,AD2,CS2,44.42899344,3.373443844,13.17021877,32,9.6,0.65,0.865465419,116.955578,869.3346897
N,2,P,6C,AD_N,AD2,CS2,44.42899344,3.373443844,13.17021877,32,9.6,0.65,0.867345811,115.336883,869.4552655
N,2,P,7A,POET_N,HLFB3,CS3,44.9,2.0,22.0,45,22,0.52,0.926092442,64.4645241,872.2318181
N,2,P,7B,POET_N,HLFB3,CS3,44.9,2.0,22.0,45,22,0.52,0.929957239,61.1127038,872.5056359
N,2,P,7C,POET_N,HLFB3,CS3,44.9,2.0,22.0,45,22,0.52,0.930630426,60.4371705,871.2345574
N,2,P,8A,NREL_N,HLFB2,CS2,49.62855619,1.276328906,38.88382997,56,43,0.84,0.850069048,136.168238,908.2063186
N,2,P,8B,NREL_N,HLFB2,CS2,49.62855619,1.276328906,38.88382997,56,43,0.84,0.846217428,139.49042,907.062604
N,2,P,8C,NREL_N,HLFB2,CS2,49.62855619,1.276328906,38.88382997,56,43,0.84,0.851609445,134.436046,905.9609339