inc,treatment,num,sample,rep,time,totalC,fr,fs ,resC,soilC
2,DASE_AVG,1,1A,A,0,1.199068626,0.553171592,0.446828408,0.663289202,0.535779423
2,DASE_AVG,1,1B,B,0,1.199845173,0.554617065,0.445382935,0.665454576,0.534390597
2,DASE_AVG,1,1C,C,0,1.198395045,0.553850059,0.446149941,0.663731115,0.53466393
2,AD_S,3,3A,A,0,1.202818641,0.555353811,0.444646189,0.667989916,0.534828725
2,AD_S,3,3B,B,0,1.202923081,0.554862384,0.445137616,0.667456768,0.535466312
2,AD_S,3,3C,C,0,1.202930665,0.555929971,0.444070029,0.668745209,0.534185455
2,POET_S,4,4A,A,0,1.208440922,0.558301883,0.441698117,0.674674842,0.53376608
2,POET_S,4,4B,B,0,1.207813016,0.558480639,0.441519361,0.674540185,0.533272831
2,POET_S,4,4C,C,0,1.210054695,0.558002437,0.441997563,0.675213469,0.534841227
2,NREL_S,5,5A,A,0,1.281250926,0.582721139,0.417278861,0.746611999,0.534638926
2,NREL_S,5,5B,B,0,1.279749203,0.583211035,0.416788965,0.746363857,0.533385346
2,NREL_S,5,5C,C,0,1.279981797,0.582213279,0.417786721,0.7452224,0.534759397
2,AD_N,6,6A,A,0,0.868759821,0.384066727,0.615933273,0.333661741,0.53509808
2,AD_N,6,6B,B,0,0.86933469,0.383710539,0.616289461,0.333572883,0.535761807
2,AD_N,6,6C,C,0,0.869455265,0.383708426,0.616291574,0.333617312,0.535837954
2,POET_N,7,7A,A,0,0.872231818,0.386468991,0.613531009,0.33709055,0.535141268
2,POET_N,7,7B,B,0,0.872505636,0.386965039,0.613034961,0.337629177,0.534876459
2,POET_N,7,7C,C,0,0.871234557,0.386653766,0.613346234,0.336866123,0.534368435
2,NREL_N,8,8A,A,0,0.908206319,0.410380824,0.589619176,0.372710457,0.535495862
2,NREL_N,8,8B,B,0,0.907062604,0.411117126,0.588882874,0.372908971,0.534153633
2,NREL_N,8,8C,C,0,0.905960934,0.411178814,0.588821186,0.372511943,0.533448991
2,CS_N,9,9A,A,0,0.880156703,0.39240898,0.60759102,0.345381394,0.534775309
2,CS_N,9,9B,B,0,0.880822339,0.392792009,0.607207991,0.345979976,0.534842363
2,CS_N,9,9C,C,0,0.88161907,0.392541492,0.607458508,0.346072065,0.535547005
2,ONESIX,S1,S1A,A,0,0.540899925,0,1,0,0.540899925
2,ONESIX,S1,S1B,B,0,0.540133309,0,1,0,0.540133309
2,ONESIX,S1,S1C,C,0,0.541588681,0,1,0,0.541588681
2,TWENTY,S2,S2A,A,0,0.535282196,0,1,0,0.535282196
2,TWENTY,S2,S2B,B,0,0.535178773,0,1,0,0.535178773
2,TWENTY,S2,S2C,C,0,0.534826452,0,1,0,0.534826452
1,PALOUSE,P1,P1A,A,0,0.512587164,0,1,0,0.512587164
1,PALOUSE,P1,P1B,B,0,0.515200665,0,1,0,0.515200665
1,PALOUSE,P1,P1C,C,0,0.513609839,0,1,0,0.513609839
1,PALOUSE,P1,P1D,D,0,0.51633697,0,1,0,0.51633697
1,CS_1P,P2,P2A,A,0,1.154961742,0.553333734,0.446666266,0.639079294,0.515882448
1,CS_1P,P2,P2B,B,0,1.138567339,0.550295363,0.449704637,0.626548328,0.512019012
1,CS_1P,P2,P2C,C,0,1.13868097,0.550240449,0.449759551,0.626548328,0.512132642
1,CS_1P,P2,P2D,D,0,1.150416523,0.555519919,0.444480081,0.639079294,0.511337229
1,AD_1P,P3,P3A,A,0,1.051733745,0.509385259,0.490614741,0.535737666,0.515996079
1,AD_1P,P3,P3B,B,0,1.077871141,0.520228009,0.479771991,0.560738757,0.517132384
1,AD_1P,P3,P3C,C,0,1.048438461,0.510986277,0.489013723,0.535737666,0.512700795
1,CCBP_1P,P4,P4A,A,0,1.146993726,0.55399539,0.44600461,0.635429237,0.51156449
1,CCBP_1P,P4,P4B,B,0,1.147561879,0.553721109,0.446278891,0.635429237,0.512132642
1,CCBP_1P,P4,P4C,C,0,1.160693119,0.554756133,0.445243867,0.643901626,0.516791492
1,CCBP_1P,P4,P4D,D,0,1.149948119,0.552572091,0.447427909,0.635429237,0.514518882
1,DASE_1P,P5,P5A,A,0,1.178183682,0.562619731,0.437380269,0.662869386,0.515314296
1,DASE_1P,P5,P5B,B,0,1.190645656,0.567865654,0.432134346,0.676126774,0.514518882
1,DASE_1P,P5,P5C,C,0,1.200506589,0.570563326,0.429436674,0.684965032,0.515541557
1,DASE_1P,P5,P5D,D,0,1.183170964,0.563983174,0.436016826,0.667288515,0.515882448
1,VERSHIRE,V1,V1A,A,0,1.115669803,0,1,0,1.115669803
1,VERSHIRE,V1,V1B,B,0,1.11949059,0,1,0,1.11949059
1,VERSHIRE,V1,V1C,C,0,1.104207442,0,1,0,1.104207442
1,VERSHIRE,V1,V1D,D,0,1.114096538,0,1,0,1.114096538
1,CS_1V,V2,V2A,A,0,1.740420113,0.359998326,0.640001674,0.626548328,1.113871786
1,CS_1V,V2,V2B,B,0,1.743698093,0.361717042,0.638282958,0.630725316,1.112972777
1,CS_1V,V2,V2C,C,0,1.761716415,0.362759459,0.637240541,0.639079294,1.122637121
1,CS_1V,V2,V2D,D,0,1.763645882,0.364730976,0.635269024,0.643256283,1.120389599
1,AD_1V,V3,V3A,A,0,1.646438471,0.327561133,0.672438867,0.53930925,1.10712922
1,AD_1V,V3,V3B,B,0,1.657026274,0.323312717,0.676687283,0.535737666,1.121288608
1,AD_1V,V3,V3C,C,0,1.651583321,0.328703268,0.671296732,0.542880835,1.108702486
1,CCBP_1V,V4,V4A,A,0,1.762043703,0.365428863,0.634571137,0.643901626,1.118142077
1,CCBP_1V,V4,V4B,B,0,1.744615323,0.361794966,0.638205034,0.631193042,1.113422281
1,CCBP_1V,V4,V4C,C,0,1.740828632,0.360148515,0.639851485,0.626956847,1.113871786
1,CCBP_1V,V4,V4D,D,0,1.757582756,0.363946124,0.636053876,0.639665431,1.117917325
1,DASE_1V,V5,V5A,A,0,1.772695633,0.373932994,0.626067006,0.662869386,1.109826247
1,DASE_1V,V5,V5B,B,0,1.779362284,0.375015544,0.624984456,0.667288515,1.112073768
1,DASE_1V,V5,V5C,C,0,1.784079089,0.381455008,0.618544992,0.680545903,1.103533186
1,DASE_1V,V5,V5D,D,0,1.79666521,0.378782813,0.621217187,0.680545903,1.116119307
2,DASE_AVG,1,1A,A,1,0.929386903,0.448291721,0.551708279,0.417570041,0.511816862
2,DASE_AVG,1,1B,B,1,0.975653705,0.47321579,0.52678421,0.463037575,0.512616129
2,DASE_AVG,1,1C,C,1,0.936395779,0.436931797,0.563068203,0.415943072,0.520452707
2,AD_S,3,3A,A,1,0.938152089,0.435256208,0.564743792,0.408336521,0.529815568
2,AD_S,3,3B,B,1,0.912845752,0.407908299,0.592091701,0.372357358,0.540488394
2,AD_S,3,3C,C,1,0.860561682,0.382829766,0.617170234,0.329448627,0.531113055
2,POET_S,4,4A,A,1,0.963488156,0.465975088,0.534024912,0.448961478,0.514526678
2,POET_S,4,4B,B,1,1.005283855,0.46039697,0.53960303,0.462829641,0.542454214
2,POET_S,4,4C,C,1,0.952947873,0.468645797,0.531354203,0.446595016,0.506352857
2,NREL_S,5,5A,A,1,1.001354154,0.48493679,0.51506321,0.485593469,0.515760685
2,NREL_S,5,5B,B,1,0.978178846,0.480168253,0.519831747,0.469690428,0.508488419
2,NREL_S,5,5C,C,1,0.947501045,0.467520353,0.532479647,0.442976023,0.504525022
2,AD_N,6,6A,A,1,0.720399896,0.252617413,0.747382587,0.181985558,0.538414338
2,AD_N,6,6B,B,1,0.703725636,0.263422186,0.736577814,0.185376945,0.518348691
2,AD_N,6,6C,C,1,0.704113977,0.255643854,0.744356146,0.180002411,0.524111566
2,POET_N,7,7A,A,1,0.799140574,0.367349795,0.632650205,0.293564126,0.505576448
2,POET_N,7,7B,B,1,0.751051803,0.3435504,0.6564496,0.258024147,0.493027655
2,POET_N,7,7C,C,1,0.80653747,0.375948006,0.624051994,0.303216153,0.503321316
2,NREL_N,8,8A,A,1,0.726595172,0.330593402,0.669406598,0.24020757,0.486387602
2,NREL_N,8,8B,B,1,0.711754164,0.333811715,0.666188285,0.237591878,0.474162286
2,NREL_N,8,8C,C,1,0.733333431,0.371589089,0.628410911,0.272498702,0.460834729
2,CS_N,9,9A,A,1,0.62523255,0.222311776,0.777688224,0.138996558,0.486235992
2,CS_N,9,9B,B,1,0.631328287,0.238033978,0.761966022,0.150277584,0.481050703
2,CS_N,9,9C,C,1,0.595300145,0.214349303,0.785650697,0.127602171,0.467697974
2,ONESIX,S1,S1A,A,1,0.479615384,0,1,0,0.479615384
2,ONESIX,S1,S1B,B,1,0.474301966,0,1,0,0.474301966
2,ONESIX,S1,S1C,C,1,0.475189557,0,1,0,0.475189557
2,TWENTY,S2,S2A,A,1,0.49338151,0,1,0,0.49338151
2,TWENTY,S2,S2B,B,1,0.479337583,0,1,0,0.479337583
2,TWENTY,S2,S2C,C,1,0.49127028,0,1,0,0.49127028
1,PALOUSE,P1,P1A,A,1,0.492843319,0,1,0,0.492843319
1,PALOUSE,P1,P1B,B,1,0.487818949,0,1,0,0.487818949
1,PALOUSE,P1,P1C,C,1,0.487148976,0,1,0,0.487148976
1,PALOUSE,P1,P1D,D,1,0.505875546,0,1,0,0.505875546
1,CS_1P,P2,P2A,A,1,0.686979001,0.348839309,0.651160691,0.23964528,0.447333721
1,CS_1P,P2,P2B,B,1,0.681644754,0.345594991,0.654405009,0.235573013,0.446071741
1,CS_1P,P2,P2C,C,1,0.751332605,0.392860314,0.607139686,0.295168763,0.456163842
1,CS_1P,P2,P2D,D,1,0.70958082,0.391602337,0.608397663,0.277873508,0.431707312
1,AD_1P,P3,P3A,A,1,0.947535265,0.478782617,0.521217383,0.453663414,0.493871852
1,AD_1P,P3,P3B,B,1,1.272361881,0.58724299,0.41275701,0.747185596,0.525176285
1,AD_1P,P3,P3C,C,1,0.954920534,0.492594937,0.507405063,0.470389021,0.484531514
1,CCBP_1P,P4,P4A,A,1,0.669180895,0.37918997,0.62081003,0.253746683,0.415434212
1,CCBP_1P,P4,P4B,B,1,0.704904547,0.378224043,0.621775957,0.266611848,0.438292699
1,CCBP_1P,P4,P4C,C,1,0.75958536,0.41307947,0.58692053,0.313769118,0.445816242
1,CCBP_1P,P4,P4D,D,1,0.738360617,0.399283575,0.600716425,0.294815267,0.44354535
1,DASE_1P,P5,P5A,A,1,1.051427075,0.545880219,0.454119781,0.573953242,0.477473833
1,DASE_1P,P5,P5B,B,1,1.036569208,0.529282723,0.470717277,0.548638173,0.487931035
1,DASE_1P,P5,P5C,C,1,1.033596435,0.54376034,0.45623966,0.562028749,0.471567686
1,DASE_1P,P5,P5D,D,1,0.996781428,0.510393839,0.489606161,0.508751099,0.488030329
1,VERSHIRE,V1,V1A,A,1,1.186973896,0,1,0,1.186973896
1,VERSHIRE,V1,V1B,B,1,1.188803425,0,1,0,1.188803425
1,VERSHIRE,V1,V1C,C,1,1.152255096,0,1,0,1.152255096
1,VERSHIRE,V1,V1D,D,1,1.123186663,0,1,0,1.123186663
1,CS_1V,V2,V2A,A,1,1.434020437,0.271907905,0.728092095,0.389921493,1.044098944
1,CS_1V,V2,V2B,B,1,1.456240998,0.259023559,0.740976441,0.377200726,1.079040272
1,CS_1V,V2,V2C,C,1,1.42565404,0.250126435,0.749873565,0.356593762,1.069060277
1,CS_1V,V2,V2D,D,1,1.337537641,0.223095468,0.776904532,0.298398587,1.039139055
1,AD_1V,V3,V3A,A,1,1.598267517,0.318377632,0.681622368,0.508852627,1.08941489
1,AD_1V,V3,V3B,B,1,1.571713285,0.300444456,0.699555544,0.472212543,1.099500742
1,AD_1V,V3,V3C,C,1,1.477379711,0.307386132,0.692613868,0.454126034,1.023253677
1,CCBP_1V,V4,V4A,A,1,1.467553128,0.26919442,0.73080558,0.395057113,1.072496014
1,CCBP_1V,V4,V4B,B,1,1.461526438,0.276958843,0.723041157,0.404782671,1.056743768
1,CCBP_1V,V4,V4C,C,1,1.465610282,0.310440891,0.689559109,0.454985361,1.010624921
1,CCBP_1V,V4,V4D,D,1,1.518375726,0.269103533,0.730896467,0.408600272,1.109775454
1,DASE_1V,V5,V5A,A,1,1.710862445,0.403224374,0.596775626,0.689861439,1.021001006
1,DASE_1V,V5,V5B,B,1,1.535073098,0.387162843,0.612837157,0.594323265,0.940749833
1,DASE_1V,V5,V5C,C,1,1.800093678,0.410939412,0.589060588,0.739729437,1.060364241
1,DASE_1V,V5,V5D,D,1,1.516542427,0.373897685,0.626102315,0.567031703,0.949510724